13000308	12011205	12015203	1	1	12	15.6	57.2
13001204	12002507	12021003	1	2	13	14.84	53.3
13001208	12002507	12021003	1	2	12	13.66	50.8
13001402	12021302	13034101	1	1	9	4.49	67.2
13001802	13035808	12032306	1	1	10	10.09	56.9
13001902	12015204	13047304	1	1	7	11.05	57.7
13001904	12015204	13047304	1	1	7	11.31	53
13002204	12015204	13047303	1	1	8	8.63	62.7
13002206	12015204	13047303	1	1	8	10.73	52.2
13002704	12021302	13036901	1	1	10	7.88	67.7
14004402	13034209	12025102	1	1	4	16.21	62.2
14005302	12016409	13034205	1	1	8	8.07	52.2
14006614	12009009	12021003	2	1	10	10.6	63
14006704	12009009	12021601	2	1	10	8.78	58.6
14007006	13034209	13034101	2	1	12	9.58	61.9
14007204	12011205	13043601	2	1	11	8.51	61.3
14007606	12016409	13047303	2	1	9	8.88	65.8
14007710	12015204	13034102	2	1	8	10.48	66.9
14010202	12021303	13042803	2	1	8	10.54	57.5
14010204	12021303	13042803	2	1	7	11.26	55.7
14010804	12025405	13044501	2	1	13	14.44	55.8
14010904	12025405	13043203	2	1	12	11.06	55
14010910	12025405	13043203	2	1	4	7.64	62.4
14011702	13034209	13034101	3	1	8	9.97	57.2
14011706	13034209	13034101	3	1	8	10.86	58.6
14011714	13034209	13034101	3	1	10	11.24	58
14011802	13034209	12020802	3	1	11	13.12	64.4
14012002	12002507	13040602	3	1	10	10.19	67.5
14012104	12016409	13047304	3	1	8	9.73	63.3
14012314	12016409	13000308	1	1	10	12.67	51.3
14012506	12016409	13001212	1	1	9	8.83	66.3
14012608	12047504	13034102	3	2	11	7.98	64.7
14013304	12047504	13035803	3	2	9	7.58	64.1
14013310	12047504	13035803	3	2	11	9.31	67.5
14013608	13001201	13033902	3	2	10	12.8	60.8
14013710	12009009	13042603	2	2	8	9.37	67.5
14014110	12015204	13000302	1	2	3	8.2	67.5
14014112	12015204	13000302	1	2	9	9.02	62.7
14014702	13001201	13044502	3	2	2	9.23	65
14015410	12002507	13001702	1	2	14	14.42	74.5
14015616	12016409	12020604	3	2	8	11.83	68
14015808	13001201	13034202	3	2	11	13.19	73
14016106	12015204	12028603	3	2	7	9.94	58.8
14016402	12047504	13001208	1	2	9	10.82	75.5
14017202	13000603	13040601	3	2	8	10.37	58.2
14017704	12047504	13002706	1	2	11	8.94	60
14018002	13000603	13002206	1	2	12	14.48	58
14030004	12016409	12020606	3	2	10	13.93	68.3
15000402	12047504	13002702	1	2	10	11.27	69
15000510	13003607	13040604	3	2	10	12.8	66.1
15000606	13002905	12020602	3	2	12	6.28	65
15000706	13002905	12021301	4	2	7	13.18	68.8
15000708	13002905	12021301	4	2	6	8.86	56.3
15000710	13002905	12021301	4	2	12	10.86	58.6
15004504	13003607	14007006	1	2	11	9.84	65.5
15004702	13002905	14007710	1	2	11	12.55	60
15004706	13002905	14007710	1	2	8	10.18	66.3
15004710	13002905	14007710	1	2	6	12.78	70
15004712	13002905	14007710	1	2	5	13.64	67.7
15004806	13002905	14007204	1	2	9	9.77	66.1
15004810	13002905	14007204	1	2	10	9.77	67.7
15005708	13034209	12025401	3	2	11	11.18	64.1
15005804	13002203	13042803	4	2	12	8.35	57.7
15005918	13002203	12020604	4	2	8	10.71	64.7
15007504	13034209	14004206	2	2	9	11.49	61.1
15007908	13002203	13002706	2	2	14	9.04	72.5
15008004	13034209	13001902	2	2	10	11.84	68.6
15008302	13034209	13002206	2	2	10	11.88	69.4
15008306	13034209	13002206	2	2	8	11.68	67.5
15008602	13034209	13001904	2	2	12	10.35	60.5
15010204	13002905	13040602	5	2	9	8.88	62.5
15010206	13002905	13040602	5	2	10	11.04	61.1
15010306	13003607	12032302	5	2	9	11.73	58.6
15010402	13000603	14030004	1	2	11	11.56	54.7
15010404	13000603	14030004	1	2	11	10.91	73.6
15010412	13000603	14030004	1	2	6	14.06	54.7
15011104	12047504	13033904	5	2	7	12.5	65.8
15011204	13002905	12032303	4	2	13	10.52	64.7
15011208	13002905	12032303	4	2	11	9.81	65
15011210	13002905	12032303	4	2	4	7.4	60.8
